year,id,marital,hrs1,conrinc,childs,meovrwrk,hlthdep
2018.0,1,never married,,,0.0,agree,
2018.0,2,separated,,,3.0,,
2018.0,3,married,40.0,70100.0,2.0,disagree,
2018.0,4,married,40.0,84120.0,2.0,neither agree nor disagree,
2018.0,5,divorced,,,0.0,,
2018.0,6,widowed,,,2.0,agree,
2018.0,7,divorced,35.0,13143.75,6.0,,
2018.0,8,never married,89.0,26287.5,0.0,,
2018.0,9,widowed,40.0,1402.0,4.0,agree,
2018.0,10,married,40.0,70100.0,2.0,agree,
2018.0,11,divorced,40.0,84120.0,2.0,disagree,
2018.0,12,separated,20.0,13143.75,3.0,disagree,
2018.0,13,divorced,,,2.0,disagree,
2018.0,14,married,40.0,70100.0,2.0,,
2018.0,15,never married,,,2.0,disagree,
2018.0,16,widowed,19.0,7886.249999999999,4.0,agree,
2018.0,17,married,,47317.5,0.0,agree,
2018.0,18,married,,,2.0,disagree,
2018.0,19,divorced,40.0,47317.5,2.0,,
2018.0,20,never married,40.0,,0.0,agree,
2018.0,21,married,42.0,26287.5,1.0,agree,
2018.0,22,never married,,,0.0,,
2018.0,23,married,32.0,70100.0,1.0,agree,
2018.0,24,never married,50.0,31545.0,0.0,strongly agree,
2018.0,25,married,15.0,13143.75,3.0,neither agree nor disagree,
2018.0,26,widowed,,,2.0,,
2018.0,27,divorced,33.0,26287.5,3.0,disagree,
2018.0,28,never married,,,5.0,,
2018.0,29,divorced,,,3.0,disagree,
2018.0,30,never married,40.0,9638.75,0.0,,
2018.0,31,married,,,2.0,disagree,
2018.0,32,married,,,7.0,,
2018.0,33,married,,,2.0,strongly disagree,
2018.0,34,divorced,46.0,84120.0,0.0,strongly agree,
2018.0,35,divorced,16.0,,3.0,agree,
2018.0,36,married,40.0,70100.0,5.0,,
2018.0,37,widowed,20.0,,1.0,agree,
2018.0,38,never married,45.0,31545.0,0.0,,
2018.0,39,married,50.0,31545.0,1.0,agree,
2018.0,40,,,,,agree,
2018.0,41,divorced,30.0,9638.75,2.0,neither agree nor disagree,
2018.0,42,never married,40.0,26287.5,0.0,disagree,
2018.0,43,widowed,,,1.0,neither agree nor disagree,
2018.0,44,married,,,0.0,,
2018.0,45,divorced,,47317.5,2.0,,
2018.0,46,widowed,25.0,22782.5,3.0,disagree,
2018.0,47,married,20.0,57832.5,2.0,disagree,
2018.0,48,married,,,3.0,agree,
2018.0,49,divorced,,,1.0,agree,
2018.0,50,divorced,,,2.0,agree,
2018.0,51,never married,30.0,,0.0,,
2018.0,52,separated,40.0,19277.5,3.0,agree,
2018.0,53,divorced,55.0,57832.5,2.0,neither agree nor disagree,
2018.0,54,married,,38555.0,1.0,,
2018.0,55,married,40.0,182695.90984,2.0,agree,
2018.0,56,divorced,40.0,98140.0,1.0,,
2018.0,57,married,,,2.0,strongly agree,
2018.0,58,never married,,6309.0,2.0,neither agree nor disagree,
2018.0,59,never married,35.0,47317.5,0.0,,
2018.0,60,separated,29.0,4556.5,2.0,strongly agree,
2018.0,61,married,,2453.5,1.0,disagree,
2018.0,62,married,25.0,14896.249999999998,3.0,strongly agree,
2018.0,63,never married,35.0,38555.0,0.0,neither agree nor disagree,
2018.0,64,widowed,,,1.0,strongly agree,
2018.0,65,never married,,,4.0,disagree,
2018.0,66,divorced,,,4.0,agree,
2018.0,67,married,45.0,38555.0,3.0,disagree,
2018.0,68,separated,,,3.0,,
2018.0,69,never married,55.0,98140.0,0.0,agree,
2018.0,70,married,,,3.0,agree,
2018.0,71,never married,,,0.0,disagree,
2018.0,72,married,75.0,47317.5,0.0,agree,
2018.0,73,married,,,0.0,neither agree nor disagree,
2018.0,74,married,45.0,22782.5,2.0,,
2018.0,75,never married,35.0,5257.5,0.0,,
2018.0,76,never married,32.0,26287.5,2.0,strongly agree,
2018.0,77,married,50.0,98140.0,2.0,,
2018.0,78,widowed,,,3.0,neither agree nor disagree,
2018.0,79,married,,,1.0,,
2018.0,80,married,,,,,
2018.0,81,married,,,0.0,disagree,
2018.0,82,married,40.0,,1.0,neither agree nor disagree,
2018.0,83,divorced,40.0,11391.25,1.0,strongly agree,
2018.0,84,married,40.0,31545.0,4.0,strongly disagree,
2018.0,85,separated,20.0,14896.249999999998,4.0,,
2018.0,86,never married,42.0,31545.0,0.0,neither agree nor disagree,
2018.0,87,never married,40.0,350.5,2.0,agree,
2018.0,88,married,,182695.90984,2.0,,
2018.0,89,married,35.0,38555.0,0.0,agree,
2018.0,90,never married,35.0,6309.0,0.0,neither agree nor disagree,
2018.0,91,never married,,70100.0,0.0,agree,
2018.0,92,married,3.0,13143.75,0.0,agree,
2018.0,93,never married,30.0,,0.0,disagree,
2018.0,94,widowed,,,1.0,neither agree nor disagree,
2018.0,95,never married,40.0,70100.0,2.0,disagree,
2018.0,96,never married,30.0,,0.0,,
