year,id,marital,hrs1,conrinc,childs,meovrwrk
year,id,marital,hrs1,conrinc,childs,meovrwrk
1994,3,married,50.0,19071.0,2.0,neither agree nor disagree
1994,6,never married,20.0,13203.0,0.0,disagree
1994,8,never married,45.0,13203.0,1.0,strongly agree
1994,13,married,35.0,38141.0,2.0,agree
1994,14,married,38.0,117585.0,2.0,disagree
1994,15,never married,46.0,52811.0,0.0,agree
1994,17,married,40.0,52811.0,2.0,neither agree nor disagree
1994,25,never married,42.0,64546.0,0.0,agree
1994,40,never married,70.0,117585.0,0.0,agree
1994,52,never married,70.0,27872.0,0.0,neither agree nor disagree
1994,59,married,40.0,32273.0,3.0,disagree
1994,66,married,50.0,32273.0,3.0,neither agree nor disagree
1994,85,married,50.0,79216.0,2.0,agree
1994,95,married,35.0,79216.0,2.0,strongly agree
1994,98,never married,48.0,64546.0,0.0,agree
1994,102,never married,40.0,22004.0,4.0,strongly disagree
1994,113,never married,30.0,32273.0,0.0,disagree
1994,114,married,37.0,22004.0,0.0,neither agree nor disagree
1994,121,married,40.0,64546.0,2.0,agree
1994,123,married,40.0,117585.0,2.0,agree
1994,127,married,80.0,44009.0,2.0,agree
1994,132,married,65.0,52811.0,1.0,strongly agree
1994,137,never married,35.0,22004.0,2.0,disagree
1994,143,married,42.0,64546.0,0.0,agree
1994,147,married,80.0,117585.0,2.0,disagree
1994,150,married,40.0,44009.0,3.0,disagree
1994,157,married,10.0,7628.0,2.0,neither agree nor disagree
1994,159,married,40.0,117585.0,0.0,disagree
1994,160,married,20.0,6455.0,2.0,agree
1994,162,married,38.0,38141.0,2.0,neither agree nor disagree
1994,172,married,15.0,2347.0,2.0,agree
1994,175,never married,50.0,52811.0,0.0,agree
1994,177,divorced,38.0,24938.0,2.0,strongly agree
1994,179,divorced,50.0,64546.0,1.0,disagree
1994,183,married,40.0,16137.0,1.0,agree
1994,192,married,40.0,38141.0,2.0,agree
1994,193,married,55.0,52811.0,2.0,agree
1994,196,divorced,40.0,79216.0,4.0,agree
1994,198,married,40.0,27872.0,3.0,agree
1994,199,married,60.0,38141.0,0.0,agree
1994,201,married,37.0,10562.0,1.0,agree
1994,202,married,40.0,79216.0,2.0,disagree
1994,210,never married,6.0,587.0,0.0,neither agree nor disagree
1994,213,married,40.0,38141.0,0.0,disagree
1994,218,married,10.0,13203.0,3.0,agree
1994,220,married,60.0,117585.0,3.0,neither agree nor disagree
1994,223,married,60.0,52811.0,1.0,neither agree nor disagree
1994,224,married,40.0,44009.0,2.0,neither agree nor disagree
1994,227,divorced,10.0,32273.0,0.0,disagree
1994,230,married,40.0,27872.0,0.0,agree
1994,232,never married,30.0,22004.0,0.0,agree
1994,237,never married,50.0,38141.0,0.0,strongly agree
1994,238,divorced,32.0,64546.0,0.0,agree
1994,242,divorced,40.0,27872.0,2.0,disagree
1994,247,married,40.0,52811.0,0.0,agree
1994,248,married,60.0,52811.0,2.0,agree
1994,257,married,40.0,52811.0,2.0,neither agree nor disagree
1994,261,married,40.0,52811.0,2.0,neither agree nor disagree
1994,268,never married,40.0,16137.0,0.0,strongly agree
1994,269,divorced,45.0,64546.0,2.0,disagree
